LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,13-Apr-2022 11:39:24,0                 
Time,Ampl
-1.69819626e-010,1411.4
8.30180374e-010,1411.4
1.83018037e-009,1411.4
2.83018037e-009,1394.79
3.83018037e-009,1411.4
4.83018037e-009,1394.79
5.83018037e-009,1428
6.83018037e-009,1411.4
7.83018037e-009,1411.4
8.83018037e-009,1411.4
9.83018037e-009,1411.4
1.08301804e-008,1394.79
1.18301804e-008,1411.4
1.28301804e-008,1394.79
1.38301804e-008,1411.4
1.48301804e-008,1361.58
1.58301804e-008,1378.19
1.68301804e-008,1361.58
1.78301804e-008,1361.58
1.88301804e-008,1344.98
1.98301804e-008,1361.58
2.08301804e-008,1378.19
2.18301804e-008,1378.19
2.28301804e-008,1361.58
2.38301804e-008,1361.58
2.48301804e-008,1361.58
2.58301804e-008,1344.98
2.68301804e-008,1344.98
2.78301804e-008,1344.98
2.88301804e-008,1344.98
2.98301804e-008,1328.37
3.08301804e-008,1328.37
3.18301804e-008,1328.37
3.28301804e-008,1344.98
3.38301804e-008,1295.16
3.48301804e-008,1311.77
3.58301804e-008,1311.77
3.68301804e-008,1311.77
3.78301804e-008,1295.16
3.88301804e-008,1295.16
3.98301804e-008,1295.16
4.08301804e-008,1311.77
4.18301804e-008,1295.16
4.28301804e-008,1295.16
4.38301804e-008,1295.16
4.48301804e-008,1311.77
4.58301804e-008,1295.16
4.68301804e-008,1295.16
4.78301804e-008,1278.56
4.88301804e-008,1295.16
4.98301804e-008,1278.56
5.08301804e-008,1261.96
5.18301804e-008,1245.35
5.28301804e-008,1245.35
5.38301804e-008,1228.75
5.48301804e-008,1228.75
5.58301804e-008,1245.35
5.68301804e-008,1228.75
5.78301804e-008,1212.14
5.88301804e-008,1212.14
5.98301804e-008,1195.54
6.08301804e-008,1228.75
6.18301804e-008,1195.54
6.28301804e-008,1195.54
6.38301804e-008,1212.14
6.48301804e-008,1178.93
6.58301804e-008,1195.54
6.68301804e-008,1212.14
6.78301804e-008,1178.93
6.88301804e-008,1212.14
6.98301804e-008,1178.93
7.08301804e-008,1145.72
7.18301804e-008,1178.93
7.28301804e-008,1162.33
7.38301804e-008,1178.93
7.48301804e-008,1145.72
7.58301804e-008,1162.33
7.68301804e-008,1178.93
7.78301804e-008,1129.12
7.88301804e-008,1129.12
7.98301804e-008,1129.12
8.08301804e-008,1145.72
8.18301804e-008,1129.12
8.28301804e-008,1112.51
8.38301804e-008,1129.12
8.48301804e-008,1079.3
8.58301804e-008,1079.3
8.68301804e-008,1062.7
8.78301804e-008,1095.91
8.88301804e-008,1095.91
8.98301804e-008,1079.3
9.08301804e-008,1062.7
9.18301804e-008,1046.09
9.28301804e-008,1062.7
9.38301804e-008,1062.7
9.48301804e-008,1029.49
9.58301804e-008,1046.09
9.68301804e-008,1046.09
9.78301804e-008,1029.49
9.88301804e-008,1029.49
9.98301804e-008,1029.49
1.0083018e-007,1012.89
1.0183018e-007,996.281
1.0283018e-007,1012.89
1.0383018e-007,1012.89
1.0483018e-007,1012.89
1.0583018e-007,996.281
1.0683018e-007,996.281
1.0783018e-007,963.071
1.0883018e-007,979.676
1.0983018e-007,963.071
1.1083018e-007,979.676
1.1183018e-007,929.862
1.1283018e-007,946.467
1.1383018e-007,913.257
1.1483018e-007,929.862
1.1583018e-007,929.862
1.1683018e-007,946.467
1.1783018e-007,929.862
1.1883018e-007,913.257
1.1983018e-007,896.652
1.2083018e-007,896.652
1.2183018e-007,896.652
1.2283018e-007,880.048
1.2383018e-007,896.652
1.2483018e-007,880.048
1.2583018e-007,863.443
1.2683018e-007,880.048
1.2783018e-007,863.443
1.2883018e-007,846.838
1.2983018e-007,846.838
1.3083018e-007,830.234
1.3183018e-007,830.234
1.3283018e-007,813.629
1.3383018e-007,830.234
1.3483018e-007,797.024
1.3583018e-007,797.024
1.3683018e-007,813.629
1.3783018e-007,797.024
1.3883018e-007,797.024
1.3983018e-007,797.024
1.4083018e-007,780.42
1.4183018e-007,763.815
1.4283018e-007,763.815
1.4383018e-007,763.815
1.4483018e-007,763.815
1.4583018e-007,730.606
1.4683018e-007,714.001
1.4783018e-007,730.606
1.4883018e-007,697.396
1.4983018e-007,714.001
1.5083018e-007,680.792
1.5183018e-007,697.396
1.5283018e-007,664.187
1.5383018e-007,664.187
1.5483018e-007,664.187
1.5583018e-007,664.187
1.5683018e-007,630.978
1.5783018e-007,647.582
1.5883018e-007,647.582
1.5983018e-007,647.582
1.6083018e-007,647.582
1.6183018e-007,597.768
1.6283018e-007,614.373
1.6383018e-007,597.768
1.6483018e-007,597.768
1.6583018e-007,597.768
1.6683018e-007,597.768
1.6783018e-007,564.559
1.6883018e-007,581.164
1.6983018e-007,547.954
1.7083018e-007,564.559
1.7183018e-007,514.745
1.7283018e-007,531.35
1.7383018e-007,547.954
1.7483018e-007,498.14
1.7583018e-007,498.14
1.7683018e-007,498.14
1.7783018e-007,514.745
1.7883018e-007,498.14
1.7983018e-007,464.931
1.8083018e-007,481.536
1.8183018e-007,464.931
1.8283018e-007,448.326
1.8383018e-007,448.326
1.8483018e-007,448.326
1.8583018e-007,431.722
1.8683018e-007,448.326
1.8783018e-007,415.117
1.8883018e-007,431.722
1.8983018e-007,415.117
1.9083018e-007,381.908
1.9183018e-007,398.512
1.9283018e-007,415.117
1.9383018e-007,365.303
1.9483018e-007,348.698
1.9583018e-007,365.303
1.9683018e-007,365.303
1.9783018e-007,365.303
1.9883018e-007,348.698
1.9983018e-007,332.094
2.0083018e-007,332.094
2.0183018e-007,298.884
2.0283018e-007,298.884
2.0383018e-007,315.489
2.0483018e-007,265.675
2.0583018e-007,282.279
2.0683018e-007,265.675
2.0783018e-007,265.675
2.0883018e-007,265.675
2.0983018e-007,232.465
2.1083018e-007,215.861
2.1183018e-007,265.675
2.1283018e-007,199.256
2.1383018e-007,215.861
2.1483018e-007,199.256
2.1583018e-007,182.651
2.1683018e-007,215.861
2.1783018e-007,182.651
2.1883018e-007,166.047
2.1983018e-007,166.047
2.2083018e-007,166.047
2.2183018e-007,149.442
2.2283018e-007,132.837
2.2383018e-007,116.233
2.2483018e-007,116.233
2.2583018e-007,116.233
2.2683018e-007,99.6281
2.2783018e-007,99.6281
2.2883018e-007,99.6281
2.2983018e-007,99.6281
2.3083018e-007,83.0234
2.3183018e-007,66.4187
2.3283018e-007,49.814
2.3383018e-007,49.814
2.3483018e-007,49.814
2.3583018e-007,16.6047
2.3683018e-007,16.6047
2.3783018e-007,16.6047
2.3883018e-007,0
2.3983018e-007,-16.6047
2.4083018e-007,0
2.4183018e-007,-33.2094
2.4283018e-007,-16.6047
2.4383018e-007,-33.2094
2.4483018e-007,-16.6047
2.4583018e-007,-33.2094
2.4683018e-007,-66.4187
2.4783018e-007,-49.814
2.4883018e-007,-66.4187
2.4983018e-007,-66.4187
2.5083018e-007,-116.233
2.5183018e-007,-116.233
2.5283018e-007,-83.0234
2.5383018e-007,-99.6281
2.5483018e-007,-132.837
2.5583018e-007,-132.837
