LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 12:04:16,0                 
Time,Ampl
-0.00010000198,-0.210911
-9.9999978e-005,-0.210911
-9.9997978e-005,-0.210911
-9.9995978e-005,-0.210911
-9.9993978e-005,-0.210911
-9.9991978e-005,-0.210911
-9.9989978e-005,-0.210911
-9.9987978e-005,-0.193335
-9.9985978e-005,-0.228487
-9.9983978e-005,-0.228487
-9.9981978e-005,-0.228487
-9.9979978e-005,-0.210911
-9.9977978e-005,-0.210911
-9.9975978e-005,-0.228487
-9.9973978e-005,-0.228487
-9.9971978e-005,-0.210911
-9.9969978e-005,-0.228487
-9.9967978e-005,-0.228487
-9.9965978e-005,-0.228487
-9.9963978e-005,-0.210911
-9.9961978e-005,-0.228487
-9.9959978e-005,-0.263639
-9.9957978e-005,-0.228487
-9.9955978e-005,-0.193335
-9.9953978e-005,-0.263639
-9.9951978e-005,-0.246063
-9.9949978e-005,-0.228487
-9.9947978e-005,-0.210911
-9.9945978e-005,-0.228487
-9.9943978e-005,-0.246063
-9.9941978e-005,-0.246063
-9.9939978e-005,-0.210911
-9.9937978e-005,-0.228487
-9.9935978e-005,-0.228487
-9.9933978e-005,-0.246063
-9.9931978e-005,-0.246063
-9.9929978e-005,-0.263639
-9.9927978e-005,-0.281215
-9.9925978e-005,-0.228487
-9.9923978e-005,-0.246063
-9.9921978e-005,-0.246063
-9.9919978e-005,-0.263639
-9.9917978e-005,-0.263639
-9.9915978e-005,-0.228487
-9.9913978e-005,-0.263639
-9.9911978e-005,-0.246063
-9.9909978e-005,-0.228487
-9.9907978e-005,-0.228487
-9.9905978e-005,-0.263639
-9.9903978e-005,-0.246063
-9.9901978e-005,-0.263639
-9.9899978e-005,-0.246063
-9.9897978e-005,-0.263639
-9.9895978e-005,-0.263639
-9.9893978e-005,-0.246063
-9.9891978e-005,-0.228487
-9.9889978e-005,-0.263639
-9.9887978e-005,-0.263639
-9.9885978e-005,-0.246063
-9.9883978e-005,-0.210911
-9.9881978e-005,-0.263639
-9.9879978e-005,-0.246063
-9.9877978e-005,-0.246063
-9.9875978e-005,-0.246063
-9.9873978e-005,-0.263639
-9.9871978e-005,-0.246063
-9.9869978e-005,-0.246063
-9.9867978e-005,-0.246063
-9.9865978e-005,-0.263639
-9.9863978e-005,-0.298791
-9.9861978e-005,-0.263639
-9.9859978e-005,-0.228487
-9.9857978e-005,-0.281215
-9.9855978e-005,-0.263639
-9.9853978e-005,-0.263639
-9.9851978e-005,-0.246063
-9.9849978e-005,-0.281215
-9.9847978e-005,-0.263639
-9.9845978e-005,-0.228487
-9.9843978e-005,-0.228487
-9.9841978e-005,-0.263639
-9.9839978e-005,-0.246063
-9.9837978e-005,-0.246063
-9.9835978e-005,-0.246063
-9.9833978e-005,-0.246063
-9.9831978e-005,-0.263639
-9.9829978e-005,-0.246063
-9.9827978e-005,-0.228487
-9.9825978e-005,-0.281215
-9.9823978e-005,-0.246063
-9.9821978e-005,-0.246063
-9.9819978e-005,-0.228487
-9.9817978e-005,-0.246063
-9.9815978e-005,-0.246063
-9.9813978e-005,-0.263639
-9.9811978e-005,-0.228487
-9.9809978e-005,-0.228487
-9.9807978e-005,-0.263639
-9.9805978e-005,-0.246063
-9.9803978e-005,-0.246063
-9.9801978e-005,-0.228487
-9.9799978e-005,-0.228487
-9.9797978e-005,-0.228487
-9.9795978e-005,-0.210911
-9.9793978e-005,-0.228487
-9.9791978e-005,-0.246063
-9.9789978e-005,-0.228487
-9.9787978e-005,-0.210911
-9.9785978e-005,-0.228487
-9.9783978e-005,-0.246063
-9.9781978e-005,-0.228487
-9.9779978e-005,-0.210911
-9.9777978e-005,-0.228487
-9.9775978e-005,-0.246063
-9.9773978e-005,-0.228487
-9.9771978e-005,-0.210911
-9.9769978e-005,-0.246063
-9.9767978e-005,-0.246063
-9.9765978e-005,-0.210911
-9.9763978e-005,-0.210911
-9.9761978e-005,-0.228487
-9.9759978e-005,-0.228487
-9.9757978e-005,-0.210911
-9.9755978e-005,-0.193335
-9.9753978e-005,-0.210911
-9.9751978e-005,-0.193335
-9.9749978e-005,-0.210911
-9.9747978e-005,-0.193335
-9.9745978e-005,-0.210911
-9.9743978e-005,-0.210911
-9.9741978e-005,-0.210911
-9.9739978e-005,-0.193335
-9.9737978e-005,-0.210911
-9.9735978e-005,-0.175759
-9.9733978e-005,-0.175759
-9.9731978e-005,-0.158183
-9.9729978e-005,-0.193335
-9.9727978e-005,-0.210911
-9.9725978e-005,-0.193335
-9.9723978e-005,-0.175759
-9.9721978e-005,-0.175759
-9.9719978e-005,-0.175759
-9.9717978e-005,-0.158183
-9.9715978e-005,-0.140607
-9.9713978e-005,-0.175759
-9.9711978e-005,-0.175759
-9.9709978e-005,-0.175759
